frame_id,device_timestamp_us,sdk_system_timestamp_us,host_receive_us,bytes,source_gap,soi,sender_accepts,trimmed_bytes,first_eoi_end,last_eoi_end
1,61538667703,1789006405076472,1789006405077793,74076,0,1,1,42080,42080,42080
2,61538701011,1789006405109471,1789006405112155,74076,0,1,1,43055,43055,43055
3,61538734320,1789006405142728,1789006405144050,74076,0,1,1,41970,41970,41970
4,61538767628,1789006405176341,1789006405177257,74076,0,1,1,42800,42800,42800
5,61538800937,1789006405209496,1789006405210958,74076,0,1,1,42745,42745,42745
6,61538834246,1789006405243120,1789006405244723,74076,0,1,1,42904,42904,42904
7,61538867554,1789006405276699,1789006405277916,74076,0,1,1,41794,41794,41794
8,61538900863,1789006405309337,1789006405310772,74076,0,1,1,42638,42638,42638
9,61538934171,1789006405342746,1789006405344323,74076,0,1,1,42135,42135,42135
10,61538967480,1789006405376595,1789006405378703,74076,0,1,1,41992,41992,41992
11,61539000789,1789006405409314,1789006405410563,74076,0,1,1,42721,42721,42721
12,61539034097,1789006405442417,1789006405444354,74076,0,1,1,42033,42033,42033
13,61539067406,1789006405476475,1789006405478199,74076,0,1,1,42625,42625,42625
14,61539100714,1789006405509207,1789006405510603,74076,0,1,1,42142,42142,42142
15,61539134023,1789006405542493,1789006405544198,74076,0,1,1,42077,42077,42077
16,61539167332,1789006405576302,1789006405578097,74076,0,1,1,42858,42858,42858
17,61539200640,1789006405609186,1789006405610334,74076,0,1,1,42621,42621,42621
18,61539233949,1789006405642415,1789006405644187,74076,0,1,1,42898,42898,42898
19,61539267257,1789006405676268,1789006405678153,74076,0,1,1,42902,42902,42902
20,61539300566,1789006405709262,1789006405710502,74076,0,1,1,42793,42793,42793
21,61539333875,1789006405742402,1789006405744188,74076,0,1,1,42585,42585,42585
22,61539367183,1789006405775552,1789006405778346,74076,0,1,1,42006,42006,42006
23,61539400492,1789006405808936,1789006405810402,74076,0,1,1,42840,42840,42840
24,61539433800,1789006405842163,1789006405843695,74076,0,1,1,42861,42861,42861
25,61539467109,1789006405876058,1789006405877591,74076,0,1,1,43037,43037,43037
26,61539500418,1789006405908932,1789006405910338,74076,0,1,1,42705,42705,42705
27,61539533726,1789006405942557,1789006405944653,74076,0,1,1,42843,42843,42843
28,61539567035,1789006405976045,1789006405977663,74076,0,1,1,42899,42899,42899
29,61539600343,1789006406008805,1789006406010199,74076,0,1,1,43021,43021,43021
30,61539633652,1789006406042509,1789006406043622,74076,0,1,1,42758,42758,42758
31,61539666961,1789006406075804,1789006406077740,74076,0,1,1,42832,42832,42832
32,61539700269,1789006406108986,1789006406110345,74076,0,1,1,41917,41917,41917
33,61539733578,1789006406142140,1789006406143616,74076,0,1,1,42791,42791,42791
34,61539766886,1789006406175268,1789006406177302,74076,0,1,1,42093,42093,42093
35,61539800195,1789006406208962,1789006406210537,74076,0,1,1,42864,42864,42864
36,61539833504,1789006406241809,1789006406243481,74076,0,1,1,42850,42850,42850
37,61539866812,1789006406275281,1789006406277526,74076,0,1,1,42723,42723,42723
38,61539900121,1789006406309151,1789006406310607,74076,0,1,1,42077,42077,42077
39,61539933429,1789006406341752,1789006406343287,74076,0,1,1,42783,42783,42783
